timestamp,object_id,vehicle_type,direction,region_class,suffix,kana,city
2025-09-12 18:38:08,01,car,in,,,,
2025-09-12 18:38:15,02,car,in,,,,
2025-09-12 18:38:20,03,car,in,,,,
2025-09-12 18:38:24,04,car,in,,,,
2025-09-12 18:38:28,05,car,in,,,,
2025-09-12 18:38:33,06,car,in,,,,
2025-09-12 18:38:37,07,car,in,,,,
2025-09-12 18:38:46,08,car,in,,,,
2025-09-12 18:41:40,01,car,in,世田谷70,,ふ,世田谷
2025-09-12 18:42:37,01(70-50),car,in,田谷310,70-50,,田谷
2025-09-12 18:43:34,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:44:34,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:45:56,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:46:47,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:48:44,01,car,in,,,ふ,
2025-09-12 18:49:50,01,car,in,,,ふ,
2025-09-12 18:50:47,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:51:21,02(28-50),car,in,横浜331,28-50,や,横浜
2025-09-12 18:52:12,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-12 18:52:47,02(28-50),car,in,横浜331,28-50,や,横浜
